ColonyID,SampleID,Species,Phenotype,Treatment,Tank,Assigned_Timepoint,Date_Sampled,Assay,Notes
243,PC-243-C12,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,C12 ,
244,PC-244-phys,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
244,PC-244-C12,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,C12 ,
247,PC-247-phys,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
247,PC-247-C12,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,C12 ,
248,PC-248-phys,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
248,PC-248-C12,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,C12 ,
28,PC-28-phys,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
28,PC-28-C12,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,C12 ,
29,PC-29-phys,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
29,PC-29-C12,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,C12 ,
225,PC-225-phys,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
225,PC-225-C12,Porites compressa,Susceptible,NA,NA,NA,NA,NA,Not enough material for C12 plug
226,PC-226-phys,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
226,PC-226-C12,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,C12 ,
241,PC-241-phys,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
241,PC-241-C12,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,C12 ,
242,PC-242-phys,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
242,PC-242-C12,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,C12 ,
26,PC-26-A1,Porites compressa,Susceptible,Ambient,A1,BACKUP,,Physiology & C13,
12,MC-12-H1-pHi,Montipora capitata,Resistant,High,H1,TP1,,Intracellular pH,
26,PC-26-A3,Porites compressa,Susceptible,Ambient,A3,TP2,,Physiology & C13,
26,PC-26-H1,Porites compressa,Susceptible,High,H1,BACKUP,,Physiology & C13,
12,MC-12-H1,Montipora capitata,Resistant,High,H1,TP1,,Physiology & C13,
26,PC-26-H3,Porites compressa,Susceptible,High,H3,TP2,,Physiology & C13,
27,PC-27-A1,Porites compressa,Resistant,Ambient,A1,TP2,,Physiology & C13,
27,PC-27-A2,Porites compressa,Resistant,Ambient,A2,BACKUP,,Physiology & C13,
204,MC-204-H1-pHi,Montipora capitata,Resistant,High,H1,TP1,,Intracellular pH,
27,PC-27-H1,Porites compressa,Resistant,High,H1,TP2,,Physiology & C13,
27,PC-27-H2,Porites compressa,Resistant,High,H2,BACKUP,,Physiology & C13,
204,MC-204-H1,Montipora capitata,Resistant,High,H1,TP1,,Physiology & C13,
41,PC-41-A1,Porites compressa,Susceptible,Ambient,A1,TP2,,Physiology & C13,
41,PC-41-A2,Porites compressa,Susceptible,Ambient,A2,BACKUP,,Physiology & C13,
211,MC-211-H1-pHi,Montipora capitata,Susceptible,High,H1,TP1,,Intracellular pH,
41,PC-41-H1,Porites compressa,Susceptible,High,H1,TP2,,Physiology & C13,
41,PC-41-H2,Porites compressa,Susceptible,High,H2,BACKUP,,Physiology & C13,
211,MC-211-H1,Montipora capitata,Susceptible,High,H1,TP1,,Physiology & C13,
221,MC-221-H1-pHi,Montipora capitata,Susceptible,High,H1,TP1,,Intracellular pH,
42,PC-42-A2,Porites compressa,Resistant,Ambient,A2,TP2,,Physiology & C13,
42,PC-42-A3,Porites compressa,Resistant,Ambient,A3,BACKUP,,Physiology & C13,
221,MC-221-H1,Montipora capitata,Susceptible,High,H1,TP1,,Physiology & C13,
42,PC-42-H2,Porites compressa,Resistant,High,H2,TP2,,Physiology & C13,
42,PC-42-H3,Porites compressa,Resistant,High,H3,BACKUP,,Physiology & C13,
43,PC-43-A1,Porites compressa,Susceptible,Ambient,A1,BACKUP,,Physiology & C13,
42,PC-42-H1,Porites compressa,Resistant,High,H1,TP1,,Physiology & C13,
43,PC-43-A3,Porites compressa,Susceptible,Ambient,A3,TP2,,Physiology & C13,
43,PC-43-H1,Porites compressa,Susceptible,High,H1,BACKUP,,Physiology & C13,
234,PC-234-H1,Porites compressa,Resistant,High,H1,TP1,,Physiology & C13,
43,PC-43-H3,Porites compressa,Susceptible,High,H3,TP2,,Physiology & C13,
44,PC-44-A1,Porites compressa,Resistant,Ambient,A1,TP2,,Physiology & C13,
44,PC-44-A2,Porites compressa,Resistant,Ambient,A2,BACKUP,,Physiology & C13,
237,PC-237-H1,Porites compressa,Susceptible,High,H1,TP1,,Physiology & C13,
44,PC-44-H1,Porites compressa,Resistant,High,H1,TP2,,Physiology & C13,
44,PC-44-H2,Porites compressa,Resistant,High,H2,BACKUP,,Physiology & C13,
240,PC-240-H1,Porites compressa,Resistant,High,H1,TP1,,Physiology & C13,
233,PC-233-A1,Porites compressa,Susceptible,Ambient,A1,TP2,,Physiology & C13,
233,PC-233-A2,Porites compressa,Susceptible,Ambient,A2,BACKUP,,Physiology & C13,
243,PC-243-H1,Porites compressa,Susceptible,High,H1,TP1,,Physiology & C13,
233,PC-233-H1,Porites compressa,Susceptible,High,H1,TP2,,Physiology & C13,
233,PC-233-H2,Porites compressa,Susceptible,High,H2,BACKUP,,Physiology & C13,
248,PC-248-H1,Porites compressa,Resistant,High,H1,TP1,,Physiology & C13,
28,PC-28-H1,Porites compressa,Susceptible,High,H1,TP1,,Physiology & C13,
234,PC-234-A2,Porites compressa,Resistant,Ambient,A2,TP2,,Physiology & C13,
234,PC-234-A3,Porites compressa,Resistant,Ambient,A3,BACKUP,,Physiology & C13,
225,PC-225-H1,Porites compressa,Susceptible,High,H1,TP1,,Physiology & C13,
234,PC-234-H2,Porites compressa,Resistant,High,H2,TP2,,Physiology & C13,
234,PC-234-H3,Porites compressa,Resistant,High,H3,BACKUP,,Physiology & C13,
235,PC-235-A1,Porites compressa,Susceptible,Ambient,A1,BACKUP,,Physiology & C13,
19,MC-19-H2-pHi,Montipora capitata,Susceptible,High,H2,TP1,,Intracellular pH,
235,PC-235-A3,Porites compressa,Susceptible,Ambient,A3,TP2,,Physiology & C13,
235,PC-235-H1,Porites compressa,Susceptible,High,H1,BACKUP,,Physiology & C13,
